,Median OR,95% Interval,90% Interval,75% Interval
octadecenedioylcarnitine (C18:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecenedioate (C18:1-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecanedioate (C18),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecadienedioate (C18:2-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-hydroxyatorvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-hydroxyatorvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-Tyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
norvaline,1.0,"(1.0, 0.8663208)","(1.0, 0.94913902)","(1.0, 1.0)"
noroxymorphone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
noroxycodone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nonadecanoate (19:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nomilin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nifedipine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinic acid mononucleotide (NaMN),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinate ribonucleoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*,1.0,"(1.0, 1.11583165)","(1.0, 1.02808721)","(1.0, 1.0)"
p-toluic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxybenzaldehyde,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxyatorvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxyatorvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oxypurinol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oxalate (ethanedioate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
orotate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ornithine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoylcholine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoylcarnitine (C18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
orotidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitate (16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide riboside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylsuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylphosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylmalonate (MMA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methyl indole-3-acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine sulfoxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine sulfone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
meglumine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"cytidine 2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margaroylcarnitine (C17)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margaroyl ethanolamide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
margarate (17:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannitol/sorbitol,1.0,"(1.0, 1.34702708)","(1.0, 1.33896911)","(1.0, 1.28158808)"
maltose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maltol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
methylurea,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoclopramide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoprolol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
metoprolol acid metabolite*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotianamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nervonoylcarnitine (C24:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
neoponcirin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
neohesperidin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
narirutin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin 7-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin 7-O-glucoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide ribonucleotide (NMN),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoleoylcarnitine (C14:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoleate (14:1n5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristate (14:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myo-inositol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
morphine-3-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
montelukast,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mevalonolactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mevalonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
myristoylcarnitine (C14),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malonylcarnitine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleate (16:1n7),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleoylcarnitine (C16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylcarnitine (C3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
prolylhydroxyproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
prolylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
proline,1.0,"(1.0, 1.24944568)","(1.0, 1.09779102)","(1.0, 1.0)"
pregnenolone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenetriol sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenetriol disulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnen-diol disulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnanolone/allopregnanolone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnanediol-3-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
poncirin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ponciretin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
piperine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
piperidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pipecolate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pimelate (C7-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylglycine (C3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propyl 4-hydroxybenzoate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
protoporphyrin IX,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ranitidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
raltegravir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quetiapine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quercitrin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyruvate,1.0,"(1.0, 0.8034824)","(1.0, 0.83845028)","(1.0, 0.90447556)"
picolinoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyrraline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxine (Vitamin B6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxal,1.0,"(1.0, 0.8144844)","(1.0, 0.83318464)","(1.0, 0.86892366)"
pyridostigmine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
putrescine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pterin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pseudouridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyroglutamine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleoyl ethanolamide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
picolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phytanate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pentadecanoate (15:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
paroxetine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
paraxanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantothenate (Vitamin B5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantetheine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoylcholine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoylcarnitine (C16),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,1.0,"(1.0, 0.62369114)","(1.0, 0.63660876)","(1.0, 0.75896471)"
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl sphingomyelin (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl ethanolamide,1.0,"(1.0, 0.87818324)","(1.0, 0.88179119)","(1.0, 0.99850112)"
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pentose acid*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenethylamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenol glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phosphocholine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phloroglucinol sulfate,1.0,"(1.0, 1.06003296)","(1.0, 1.0)","(1.0, 1.0)"
pheophytin A,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pheophorbide A,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylpyruvate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylpropionylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenyllactate (PLA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phytosphingosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylaspartate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
creatine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cystine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(methylthio)acetaminophen sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(cystein-S-yl)acetaminophen*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(N-acetyl-L-cystein-S-yl) acetaminophen,1.0,"(1.0, 0.96280922)","(1.0, 1.0)","(1.0, 1.0)"
3-(4-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(4-hydroxyphenyl)lactate (HPLA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(3-hydroxyphenyl)propionate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(3-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(2-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,7-dimethylurate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,5-dihydroxyphenylpropionate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxyphenylacetate sulfate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxyphenylacetate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxybenzoate",1.0,"(1.0, 0.77903446)","(1.0, 0.8137517)","(1.0, 0.87625337)"
3'-sialyllactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"2S,3R-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"2R,3R-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-S-cysteinyl-2-methylpropanoate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
25-hydroxycholesterol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-amino-2-piperidone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxydodecanedioate*,1.0,"(1.0, 0.78004786)","(1.0, 0.78223506)","(1.0, 0.84459336)"
3-hydroxydecanoylcarnitine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxydecanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxycinnamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybutyroylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybutyrate (BHBA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybenzoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxy-3-methylglutarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxy-2-methylpyridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-fucosyllactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-formylindole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydroshikimate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxyadipate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1.0,"(1.0, 1.03024846)","(1.0, 1.0136929)","(1.0, 1.0)"
3-aminoisobutyrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnenolone disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnanolone monosulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnanolone monosulfate (1),1.0,"(1.0, 1.32723788)","(1.0, 1.24060604)","(1.0, 1.14831999)"
2-methoxyacetaminophen glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-linoleoylglycerol (18:2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-keto-3-deoxy-gluconate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-isopropylmalate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-iminopiperidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxystearate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxysebacate,1.0,"(1.0, 0.67502875)","(1.0, 0.68085903)","(1.0, 0.69163287)"
2-hydroxyphenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxypalmitate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyoleate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyoctanoate,1.0,"(1.0, 0.95542406)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxynervonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxymyristate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxylignocerate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxylaurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyibuprofen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyhippurate (salicylurate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyacetaminophen sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyhydroquinone sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyhydroquinone sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyresorcinol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnanolone disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
20-hydroxyecdysone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-stearoyl-GPE (18:0)*,1.0,"(1.0, 1.37080752)","(1.0, 1.20816176)","(1.0, 1.0)"
2-piperidinone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoylglycerol (16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoyl-galactosylglycerol (16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoyl-GPC* (16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoleoylglycerol (16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxyhexanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxoarginine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxindole-3-acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oleoylglycerol (18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-myristoylglycerol (14:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylmalonylcarnitine (C4-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylcitrate/homocitrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylbutyrylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylbutyrylcarnitine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxo-1-pyrrolidinepropionate,1.0,"(1.0, 0.7792682)","(1.0, 0.78497768)","(1.0, 0.82695913)"
2-hydroxyheptanoate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxyhexanoylcarnitine (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxyisobutyrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyphenylacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyphenylacetate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyphenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyhippurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycyclohexylcarboxylic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycinnamate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycinnamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxybutyrate (GHB),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxybenzoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-guanidinobutanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
