,Median OR,95% Interval,90% Interval,75% Interval
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oleate/vaccenate (18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ofloxacin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octanoylcarnitine (C8),1.0,"(1.0, 1.06492034)","(1.0, 1.0)","(1.0, 1.0)"
octadecenedioylcarnitine (C18:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
orotidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oxalate (ethanedioate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
oxypurinol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl sphingomyelin (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleoylcarnitine (C16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecenedioate (C18:1-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleoyl ethanolamide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitate (16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
PAHSA (16:0/OH-18:0),1.0,"(1.0, 0.71013513)","(1.0, 0.81987778)","(1.0, 0.97912105)"
p-toluic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxybenzaldehyde,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxyatorvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-hydroxyatorvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
p-cresol glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoleate (16:1n7),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecanedioate (C18),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
OAHSA (18:1/OH-18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nervonoylcarnitine (C24:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
neoponcirin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
neohesperidin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
narirutin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin 7-O-glucoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin 7-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
naringenin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-succinyladenosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-methyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-formyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-carboxymethyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-carboxyethyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-carbamoylthreonyladenosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N6-acetyllysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N6,N6-dimethyllysine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotianamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide ribonucleotide (NMN),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinamide riboside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-Tyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
O-sulfo-L-tyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-hydroxyatorvastatin lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
o-hydroxyatorvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
O-desmethylvenlafaxine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
O-desmethyltramadol glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
O-desmethyltramadol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
O-acetylhomoserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
octadecadienedioate (C18:2-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
NP-013098,1.0,"(1.0, 0.91759423)","(1.0, 1.0)","(1.0, 1.0)"
noroxymorphone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
noroxycodone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nonadecanoate (19:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nomilin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nifedipine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinic acid mononucleotide (NaMN),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinate ribonucleoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
nicotinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
norvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoylcarnitine (C16),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
palmitoylcholine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxine (Vitamin B6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridoxal,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyridostigmine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
putrescine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pterin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pseudouridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
protoporphyrin IX,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propyl 4-hydroxybenzoate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylglycine (C3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
propionylcarnitine (C3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
prolylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
proline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
prolylhydroxyproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenolone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyroglutamine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyrraline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pyruvate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quercitrin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosuvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rosmarinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ritonavir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ritalinic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribulose/xylulose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribulonate/xylulonate/lyxonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
riboflavin (Vitamin B2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenetriol sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ribitol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
resveratrol sulfate (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ranitidine N-oxide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ranitidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
raltegravir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
quetiapine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
retinol (Vitamin A),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenetriol disulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnenediol sulfate (C21H34O5S)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnen-diol disulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetylaspartate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenol sulfate,1.0,"(1.0, 0.90592387)","(1.0, 1.0)","(1.0, 1.0)"
phenethylamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pentose acid*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pentadecanoate (15:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
paroxetine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
paraxanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantothenate (Vitamin B5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pantetheine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenol glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
rutin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylalanylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylpropionylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnanolone/allopregnanolone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pregnanediol-3-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
poncirin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ponciretin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
piperine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
piperidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pipecolate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenyllactate (PLA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pimelate (C7-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
picolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phytosphingosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phytanate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phloroglucinol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pheophytin A,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
pheophorbide A,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
phenylpyruvate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
picolinoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
(12 or 13)-methylmyristate (a15:0 or i15:0),1.0,"(1.0, 0.93174137)","(1.0, 1.0)","(1.0, 1.0)"
xanthurenate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(3-hydroxyphenyl)propionate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(3-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(2-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,7-dimethylurate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,5-dihydroxyphenylpropionate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxyphenylacetate sulfate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxyphenylacetate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"3,4-dihydroxybenzoate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3'-sialyllactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"2S,3R-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"2R,3R-dihydroxybutyrate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
25-hydroxycholesterol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnenolone disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnanolone monosulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
21-hydroxypregnanolone monosulfate (1),1.0,"(1.0, 1.67230013)","(1.0, 1.65930692)","(1.0, 1.2297366)"
21-hydroxypregnanolone disulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(4-hydroxyphenyl)lactate (HPLA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(4-hydroxyphenyl)propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(cystein-S-yl)acetaminophen*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(methylthio)acetaminophen sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxycinnamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybutyroylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybutyrate (BHBA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxybenzoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxy-3-methylglutarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxy-2-methylpyridine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-fucosyllactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-formylindole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
20-hydroxyecdysone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydroshikimate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxyadipate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-aminoisobutyrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-amino-2-piperidone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-(N-acetyl-L-cystein-S-yl) acetaminophen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-dehydrodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxydecanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-stearoyl-GPE (18:0)*,1.0,"(1.0, 1.59074109)","(1.0, 1.45455498)","(1.0, 1.0)"
2-palmitoylglycerol (16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-iminopiperidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxystearate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxysebacate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyphenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxypalmitate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyoleate,1.0,"(1.0, 0.95858216)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyoctanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxynervonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxymyristate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxylignocerate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxylaurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyibuprofen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyhippurate (salicylurate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyheptanoate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxyglutarate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxydecanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-hydroxybutyrate/2-hydroxyisobutyrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-isopropylmalate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-keto-3-deoxy-gluconate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-linoleoylglycerol (18:2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyacetaminophen glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoyl-GPC* (16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoyl-galactosylglycerol (16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-palmitoleoylglycerol (16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxoarginine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxo-1-pyrrolidinepropionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oxindole-3-acetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-oleoylglycerol (18:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-O-methylascorbic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-piperidinone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-myristoylglycerol (14:0),1.0,"(1.0, 0.85291106)","(1.0, 0.86623417)","(1.0, 1.0)"
2-methylmalonylcarnitine (C4-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylcitrate/homocitrate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylbutyrylphenylalanine,1.0,"(1.0, 0.95724109)","(1.0, 1.0)","(1.0, 1.0)"
2-methylbutyrylcarnitine (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyresorcinol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyhydroquinone sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyhydroquinone sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methoxyacetaminophen sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
2-methylserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxydecanoylcarnitine,1.0,"(1.0, 1.38347714)","(1.0, 1.12873778)","(1.0, 1.0)"
3-hydroxydodecanedioate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
3-hydroxyhexanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycyclohexylcarboxylic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycinnamate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxycinnamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxybutyrate (GHB),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxybenzoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-guanidinobutanoate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-ethylphenyl sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-ethylcatechol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-cholesten-3-one,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-chlorobenzoic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-aminophenol sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-aminophenol sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-allylcatechol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-acetylcatechol sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-acetaminophen sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-acetamidophenylglucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyhippurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
4-hydroxyphenylacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
